constituency_id,year,Private_renters,Social_renters,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,White,Asian,Black,Mixed,con_pre_ge_adjusted,lab_pre_ge_adjusted,lib_pre_ge_adjusted,oth_pre_ge_adjusted,con_share_prev,mean_con_share_ge,lab_share_prev,mean_lab_share_ge,lib_share_prev,mean_lib_share_ge,oth_share_prev,mean_oth_share_ge,party,votes
E14000991,2019,0.1669982223432271,0.1523729001979628,0.0999,0.1054,0.0868,0.0947,0.1255,0.1576,0.1375,0.1202999999999999,0.9677220488,0.0116541682,0.0038575759999999,0.0136523606,0.6319643388921977,0.14614124492567748,0.27928125823741357,0.054238627305653805,0.606,0.4132923076923077,0.179,0.4066476923076923,0.163,0.070036923076923,0.051,0.1100138461538461,lab_votes,7110.0
E14000991,2024,0.1768837502507481,0.1525244152918429,0.0954,0.1184,0.0778,0.0911999999999999,0.123,0.1496,0.145,0.1388,0.9608055493,0.0131082377,0.0046904759999999,0.0170074016,,,,,0.58,0.4274707692307692,0.116,0.32828,0.25,0.1084323076923076,0.054,0.1358107692307692,lab_votes,
E14000992,2010,0.1411778840604031,0.1725973876810957,0.1161999999999999,0.1308999999999999,0.1328,0.1189,0.1566,0.1186,0.1139,0.0699999999999999,0.9308776642,0.0440312682,0.0082072279999999,0.0146948176,0.4871485949098621,0.30706968635122645,0.18382080718923363,0.02873880956428124,0.419,0.3079183673469388,0.399,0.3651255886970173,0.147,0.215916797488226,0.035,0.1108257456828885,lab_votes,12472.0
E14000992,2015,0.1635967185748691,0.1654675720431601,0.1155,0.1232,0.1265,0.1158,0.1438,0.1324,0.1144,0.0816,0.9088487532,0.0515876772,0.014033713,0.0191050896,0.46277763957496726,0.30103099640814146,0.07115007214020502,0.14321663019693648,0.477,0.3463261538461538,0.271,0.30068,0.174,0.2249892307692307,0.077,0.12796,lab_votes,11836.0
E14000992,2017,0.1725642523806556,0.1626156457879859,0.1159,0.1202999999999999,0.1267,0.1177,0.1344999999999999,0.1393,0.1101,0.0874,0.9000371887999999,0.0546102408,0.016364307,0.0208691984,0.5984448206027265,0.3046954613153563,0.04359932741785182,0.09880810199639879,0.497,0.3562784615384615,0.26,0.3140184615384615,0.043,0.0759415384615384,0.199,0.2537646153846153,lab_votes,17887.0
E14000992,2019,0.181531786186442,0.1597637195328117,0.1144999999999999,0.1215,0.1235,0.1191,0.127,0.1431,0.1092,0.0917999999999999,0.8912256244,0.0576328044,0.018694901,0.0226333072,0.57773637581894,0.2947317844590479,0.046261312714172796,0.06061964228278955,0.554,0.4132923076923077,0.361,0.4066476923076923,0.027,0.070036923076923,0.057,0.1100138461538461,lab_votes,12303.0
E14000992,2024,0.2039506207009081,0.1526339038948761,0.107,0.134,0.121,0.1136,0.1169999999999999,0.1476,0.1032,0.1028,0.8691967134,0.0651892134,0.024521386,0.0270435792,,,,,0.635,0.4274707692307692,0.252,0.32828,0.083,0.1084323076923076,0.03,0.1358107692307692,lab_votes,
E14000993,2010,0.1666705203476678,0.122059845058173,0.0953999999999999,0.1164999999999999,0.0888,0.0925,0.1534,0.1397999999999999,0.1523999999999999,0.0976,0.9867774491,0.0052327067,0.0015897809,0.0056683447,0.5603952810180275,0.1593068297611626,0.30511753030049665,0.055014292594481234,0.482,0.3079183673469388,0.207,0.3651255886970173,0.244,0.215916797488226,0.067,0.1108257456828885,lab_votes,5169.0
E14000993,2015,0.1768765749652917,0.1239383086410179,0.0987,0.106,0.0896,0.0892999999999999,0.1319,0.1549,0.1513,0.1113,0.9839879986,0.0056295282,0.0019442114,0.0065688012,0.5132271935747541,0.15107090594652117,0.0952756713141826,0.1915754923413566,0.529,0.3463261538461538,0.136,0.30068,0.233,0.2249892307692307,0.103,0.12796,lab_votes,8089.0
E14000993,2017,0.1809589968123413,0.1246896940741558,0.0982,0.1009999999999999,0.0899,0.0932,0.1216,0.1578999999999999,0.1483,0.1202,0.9828722184,0.0057882568,0.0020859836,0.0069289838,0.633364136090612,0.1804734655483264,0.0912544062234108,0.11420031889031017,0.526,0.3562784615384615,0.154,0.3140184615384615,0.09,0.0759415384615384,0.23,0.2537646153846153,lab_votes,14571.0
E14000993,2019,0.1850414186593908,0.1254410795072937,0.0953999999999999,0.1005,0.0867,0.0965,0.1133,0.1605,0.1472,0.1266,0.9817564382,0.0059469854,0.0022277558,0.0072891664,0.6257072662298987,0.21308863086928395,0.11822335471399716,0.07444517473325034,0.6,0.4132923076923077,0.261,0.4066476923076923,0.069,0.070036923076923,0.07,0.1100138461538461,lab_votes,10480.0
E14000993,2024,0.1952474732770147,0.1273195430901386,0.0784,0.1029999999999999,0.0881999999999999,0.104,0.0868,0.153,0.1512000000000001,0.1436,0.9789669877,0.0063438069,0.0025821863,0.0081896228999999,,,,,0.63,0.4274707692307692,0.185,0.32828,0.12,0.1084323076923076,0.065,0.1358107692307692,lab_votes,
E14000994,2010,0.1115241614734666,0.077517198295242,0.1045,0.1358,0.0908999999999999,0.1082,0.1707,0.1326,0.1350999999999999,0.0775,0.9777786512,0.0096358741,0.0030851974999999,0.0084147496,0.39064899257688224,0.08157741040909774,0.6540019194555728,0.02873880956428124,0.336,0.3079183673469388,0.106,0.3651255886970173,0.523,0.215916797488226,0.035,0.1108257456828885,lab_votes,3385.0
E14000994,2015,0.1166111853395451,0.0848486844724074,0.1091,0.1172,0.0998,0.1043999999999999,0.145,0.1476,0.1281,0.0966,0.9682356602,0.0120437736,0.00478291,0.0124061666,0.36090834784462855,0.07775708394306238,0.21222349103888738,0.07253829321663018,0.372,0.3463261538461538,0.07,0.30068,0.519,0.2249892307692307,0.039,0.12796,lab_votes,3775.0
